review,rating
thought quiet good movie fun watch liked best outtakes end movie great,1
wagon master unique film amongst john fords work mainly one based story written john ford story elaborated frank nugent directors son patrick ford turned screenplay directors personal opinion regarding wagon master film john ford called one came closest wanted achieve say say little ford confessed lindsay anderson favourite nonetheless darling clementine otherbr br wagon master ingredients one might expect find john fords film wonderful cast delivering best thou featuring major stars except fordian actors ben johnson peculiar small characters provide obligatory comic relief wagon master quite horn blowing sister ledyard jane darwell shot inspired gigs last least legendary monument valley john fords fifth passage stagecoach darling clementine fort apache wore yellow ribbonbr br film starts two friends cowboys travis blue ben johnson sandy owens harry carey jr hired wagon masters guides caravan mormon settlers headed silver valley place thats like promised land way joined peculiar dr locksley hall alan mowbray two beautiful women supposedly wife daughter call actors headed direction simply recently driven nearest town place go nothing particularly unpleasant happens till bump cleggs dangerous family gang consisting father three sons run marshal town recently committed murder bank robberybr br overall wagon master less one precious pearl necklace john fords wonderful westerns must see 910br br,1
film near perfect film john ford made film magic masterpiece reason ford well ford want know ford great one explains itbr br photography course superb black white black white wonderful shots shoulder conversation pure ford great moments big little famous ripped pants ward bond apparently two dogs kept invading set fighting ford wanted use fighting scene instead fighting one dog ran away attacked ward bond ripped pants caused ford end mirth whole scene around plaiting rope way ben johnson burn snuffs rope wonderful foreshadowing anticipation final harry careys naive courting prudence usual ford line scared showing bonds horse accidentally falling left film johnson bond fantastic scene lord help ford actor stay character camera rolling even horse falls top youbr br couple sweet romances intruding whole focus two likable leads mention girls number times cameras focus ben johnsons rather delightful backsidebr br lots old time stuntmen getting lines roles cliff lyons frank mcgrath wonderful character studies mostly faces staring villains main stars set villains rival group westernbr br many many fordian shots faces groups children women small things happening foals background ford seems love images foals women aprons allowing moment wagons cross rivers camera lingersbr br probably western much artists picture happens set westbr br lucky film made 1950 impossible imagine film could ever made work art would sacrilege attempt,1
gave 4 stars lot interesting themes many already mentioned domestic violence sexuality many taboos therein outside gore really would call horror much would science fictionbr br bleak depressing hopeless dont mind less cheery ending im really tired humans suck cliché thats central every movie know cant get liberal arts degree today without bowing alter selfhatred member human race hows bout writerdirector pretend different everyone else pack notice aliens killing human race evil right reading believe humanity deserves die go find lake swim til arms tired way wont around direct next film write next book telling deserve die alive silly thoughtful boring,0
movie really genuine random really hard find movies like bunches movies hollywood really enjoy watching movie bought dvd tuesday week ive watched 4 times love spanglish accent paz really cute acting morgans funny naturalbr br movie taste might really different others say really love movie simple bestbr br ive learned something life movie well least usas life life really random sometimes u meet someone pass life friends coincidently u dont spend much time maybe u enjoy u never meet time u together really unforgettable keep moments mind grateful nice memoriesbr br movie might cheap making price meanings totally cheap rarely learn anything movies exception,1
watching getting ready compose blasting lambasting critique film actually video saw someone already pretty much agree looks like lot effort millions lira went guess gotta give credit trying however said anyone doesnt already know lovecraftian world trying convey probably think well suppose really bad makes absolutely sense thank god read part review twas little gushy maybe revealed guy also shunned house looked pretty bad judging dvd box avoid save mind exposure desecration brilliance hp lovecraft,0
preface review must say suppose little curious movie however probably would seen arm slightly twistedbr br opinion movie shows depraved man eyes worst thing whole springer phenomenon type people jerry springer show act eminently reproachable many people curious excited watch hear lives yes suppose includes whatever extent true glorifying kind behavior might say least may subtly corrupting minds andor desenstizing type behaviorbr br enough soapbox sort heres skinny movie r rating may deserve look away scenes im completely sure feel nc17 tip hat reviewer might little appropriate immense sexual content cynic might comment movie one big excuse show sex big screen plot bizarre tying together stories absolutely dysfunctional family group stereotypical blacks upset appear different springer shows end movie leaves one resolvement springer rhetoric need us see real world evidently seen show agree important know world really seek effect positive change said let tell worlds pretty bad glance newpaper news see lets shell good money support kind sensationalistic perhaps formulaic titallition springer seeks give us,0
samuel fuller interesting filmmaker mainly inconsistent politics films shock corridor naked kiss represented hypocrisies lunacy america big red one effective portrait horrors war merrills marauders painted war necessary hell pickup south street dangers communist spies films make entertaining viewing even though often pigeonholed bfilmmaker fuller good major studio contractors pickup south street exception despite dated themes filmmaking style remarkably ahead time also quicklypace tight occasionally brutal film noirbr br acting across board fantastic richard widmark makes great antihero jean peters quite sexy girl works communist spy boyfriend show stealer thlema ritter however absolutely delightful performance police stoolie angles fuller employs great making acting sequences exciting brutal violent time camera continuously moves around tarantino school would forty years later pickup south street great actionpaced noir thriller shock corridor remains favorite fuller film close second 810,1
wonderful comedy shortone keatons absolute best long series silly mistakes buster mistaken wanted killer result film consists running cops one detective particular generally fan movies lot chase scenes one absolute best far pure athletic acrobatic ability seen wilder stunts none star limber able move amazing grace particular scene runs across table jumps mans shoulders dives transom lithely humanly possible plus many gags funny perfectly timed really comes believe hes actually killed someone way film similar cops also keaton original enough enough energy make worth seeingbr br film brilliant keaton short think probably liked even playhousewhere buster plays every role theater,1
anyone tells picture terrific probably something either making profiting film real loser copies situations big budget horror movies mention soundtracks wouldnt recommend one worst enemy low budget movie amateur actors looks like filmed film contest acting terrible wouldnt surprise script written hee haw script writer family laughed grade zzzzzzzzzzzzz way wont scared one one little taste terrible elements film guy gets toe stomped ric whites stupid portrayal reverend james johnston walking cane guys reactions like amputation pain killer watch dvd extras watch movie see ric white others talk seriously movie laugh till stomach hurts people stretch truth earn dishonest buck dont get fooled like buy failure,0
put simply fan disappointment felt like watching taxi driver except taxi driver much better seemed like filmmakers wanted us root robert deniros character 100 percent approach didnt work,0
movie extremely boring laughed times decided rent noticed william shatners name cover little kid gets picked time classmates wandering streets looking old ladies assist meets prostitute takes club called playground befriends several pimps mayor tony gold shatner decides take pimp business lil pimp must lay homiesbr br animation isnt good looks like made macromedia im sure doesnt suck sort choppy flash animation people gotten used recent years humor good didnt think funny,0
kevin spacey favorite actor time without doubt others lists well comes great actors even pulled good irish accent ordinary decent criminal well kevin spacey mafia leader even burglar im sure could go far movie didnt make sense story didnt feel solved mebr br know imdb going make write ten lines im sure could say movie still trying figure silly isnt im pretty sure imdb users predicament right want say line two movie ten lines wow br br 310,0
somewhere dark recesses brain cells song plays head cant forget matter hard try midnight madness gonna get wish could find copy 45rpm record five disparate teams head one night la scavenger hunt clues instead physical objects unkempt gamemaster two gorgeous assistants mastermind insanity thats unleashed la teams stereotypes movie 1980 political correctness screwed everything good guys nerds led eddie deezen dumb beerloving jocks wedontneedamantype ladies especially redhead giggling twins scream finally bad guys stephen furst leader furst hilarious overweight slob harold whose attempt use computer decipher various clues leads gooey mess movies like arent made anymore days movies edginess dark characters nonsense go back days good guys led david naughton still good hopelessly conflicted dump serious pretensions go back 1980 midnight madness,1
read much negative press movie years id always avoided advent cheap public domain dvd encouraged finally give viewing br br unfortunately transferred poor copy modern prequel shot tinted stock blurry contrast nonexistent faces occasionally difficult make said actual story entertaining lou comes across accomplished actor many boys moviesbr br movie switches jack story film switches colour use term loosely hues orange brown greens look particularly badbr br dorothy ford polly giants maid big plus enjoyed early andy hardy appearancebr br many negative comments put actual quality print im still happy give movie 7 gave lot laughs thats greater majority comedies ive watched decades managebr br one watch get chance,1
excellentbr br goodbr br fairbr br poorbr br go ahead make day br br fourth picture series directed eastwood rumored directing magnum force brings back violent society first two films however film still lacks impact believability film released early 80s time regan young republicans premise raped woman taking vengeance rapist doesnt appeal time frame plot would better enforcer actually would made good movie sudden impact needed plot like wall street dirty harry middle br br rating 3 stars,1
youve ever seen trailer film recruit colin farrell al pacino youll never see film sadly renaissance similarly revelatory trailer makersbr br story renaissance detective investigating kidnapping young woman medical researcher setting futuristic paris science fiction elements feature throughout special thing renaissance though visual style story renaissance 3d computer animation like final fantasy highly stylised black white ultra sharp contrasts result looks stunning although problems 3d animation human beings still noticeable time tome slightly robotic movements slightly wooden facial acting etc highly stylised beautiful film noir renaissance succeeds stunning audience especially visually story writing though quite level quality visuals bad story presumably havent seen trailer lot exciting story isnt highly original verges corny lines dialogue painfully corny making writing sound like beginners first effortsbr br definitely recommend renaissance friends unlike anything ive seen visually believe originality alone makes worthwhile experience also watchable story even isnt perfect,1
wellmade runofthemill movie tragic ending pluses way story moves begins soorya struggling live followed long flashback hes music disinterested look life policemen minuses violence gore guess add realistic effects still peoples heads chopped sent boxes sacks could avoidedbr br complaints 710,1
